Gender,Age,Academic Percentage,Maths Score,Science Score,English Score,Programming Skill,Communication Skill,Logical Thinking,Creativity,Leadership,Interest,Personality Type,Preferred Subject,Career Label
Female,18,83.81,58.8,57.64,82.64,2,8,10,5,5,Social Work,Creative,Social Studies,Teacher
Female,21,66.66,78.36,76.63,57.44,6,4,8,8,7,Mathematics,Investigative,Computer Science,Data Scientist
Female,18,65.82,72.91,72.26,73.4,9,2,9,6,5,Technology,Analytical,Computer Science,Software Engineer
Male,19,58.78,72.97,66.45,92.36,3,10,8,3,10,Social Work,Creative,Arts,Teacher
Female,21,83.11,68.71,69.34,52.89,8,5,7,5,7,Design,Creative,Computer Science,Software Engineer
Male,21,73.38,77.52,85.05,59.92,8,5,9,7,6,Mathematics,Analytical,Science,Software Engineer
Male,17,88.41,55.92,37.62,74.94,1,9,7,8,8,Social Work,Social,Commerce,Lawyer
Male,17,74.25,78.05,55.85,77.7,10,7,7,4,7,Technology,Investigative,Commerce,Business Analyst
Male,21,88.3,53.55,63.73,69.03,4,9,9,8,2,Medicine,Investigative,Social Studies,Psychologist
Male,21,80.25,55.31,63.6,79.79,5,10,7,5,5,Social Work,Creative,Biology,Psychologist
Female,21,77.35,74.89,66.12,49.01,4,2,9,4,7,Science,Investigative,Mathematics,Civil Engineer
Male,16,77.59,85.34,75.66,63.09,8,3,9,4,7,Technology,Practical,Computer Science,Data Scientist
Female,22,68.01,56.9,46.87,71.49,2,7,5,9,10,Social Work,Creative,Arts,Graphic Designer
Male,22,56.93,51.42,46.41,71.1,4,7,4,10,5,Arts,Creative,Arts,Graphic Designer
Male,22,71.8,79.4,47.78,78.42,5,6,8,6,7,Business,Social,Biology,Business Analyst
Male,20,87.27,68.64,87.65,52.58,8,8,5,8,2,Design,Analytical,Mathematics,Software Engineer
Male,17,79.28,65.39,51.66,77.03,8,6,8,8,3,Arts,Leadership,Social Studies,Teacher
Female,20,63.31,54.9,71.31,68.51,3,10,5,8,3,Design,Creative,English,Graphic Designer
Female,21,69.0,78.21,80.14,52.74,3,3,6,2,4,Science,Practical,Social Studies,Civil Engineer
Female,16,63.19,80.38,62.24,62.84,2,6,5,1,5,Mathematics,Practical,Science,Civil Engineer
Male,19,74.39,93.58,60.9,76.44,6,5,10,5,7,Mathematics,Analytical,Mathematics,Data Scientist
Male,20,82.95,54.9,69.16,62.74,7,7,5,4,6,Social Work,Investigative,English,Psychologist
Male,17,91.43,95.78,82.22,44.88,10,5,6,8,8,Mathematics,Investigative,Mathematics,Data Scientist
Male,18,68.67,88.49,83.52,59.83,10,10,9,4,8,Mathematics,Analytical,Mathematics,Data Scientist
Female,21,62.27,85.09,76.04,51.17,4,7,8,6,5,Science,Practical,Science,Mechanical Engineer
Male,18,77.28,36.16,55.89,64.82,3,7,4,9,5,Arts,Practical,Arts,Graphic Designer
Female,21,97.65,84.0,57.03,56.22,8,1,9,5,5,Technology,Social,Computer Science,Data Scientist
Male,19,70.3,55.52,67.37,71.51,6,7,9,9,6,Arts,Creative,Arts,Graphic Designer
Male,17,82.22,53.7,59.95,80.89,2,10,6,6,10,Business,Social,Social Studies,Lawyer
Female,20,84.4,86.15,76.75,67.49,10,5,9,6,5,Science,Analytical,Computer Science,Data Scientist
Male,17,61.05,54.5,79.24,62.6,1,9,7,9,5,Design,Creative,Arts,Graphic Designer
Male,21,73.43,85.09,72.16,46.53,7,7,8,3,6,Mathematics,Analytical,Mathematics,Data Scientist
Male,20,84.95,67.23,62.6,86.25,1,9,9,6,6,Technology,Leadership,English,Lawyer
Male,20,67.5,37.56,78.58,89.63,3,7,5,10,8,Technology,Social,Arts,Graphic Designer
Female,22,96.81,59.77,63.25,94.47,1,9,7,5,8,Medicine,Investigative,English,Lawyer
Female,18,72.14,95.61,83.83,49.66,10,8,9,5,10,Design,Investigative,Computer Science,Software Engineer
Female,18,83.2,73.67,65.02,93.47,1,10,9,6,5,Business,Investigative,English,Psychologist
Male,18,87.3,58.24,50.4,79.11,1,9,6,7,8,Arts,Social,Social Studies,Lawyer
Female,17,79.26,77.81,41.67,77.99,4,9,8,2,10,Arts,Leadership,Commerce,Lawyer
Male,20,82.22,74.03,52.64,70.2,3,9,10,4,8,Business,Social,Mathematics,Business Analyst
Female,19,76.62,69.77,65.77,67.74,5,9,3,5,9,Social Work,Practical,Social Studies,Teacher
Male,19,84.8,90.76,68.39,80.84,10,4,7,6,4,Technology,Analytical,Computer Science,Software Engineer
Female,20,93.77,55.87,68.68,77.6,2,5,7,2,4,Social Work,Social,Biology,Psychologist
Male,22,82.04,83.2,73.65,89.03,9,5,10,8,7,Design,Creative,Mathematics,Software Engineer
Female,21,87.62,85.61,72.9,59.92,8,3,10,5,4,Mathematics,Investigative,Computer Science,Data Scientist
Male,22,84.02,49.15,83.53,60.03,1,6,5,6,4,Social Work,Social,Social Studies,Psychologist
Female,20,68.9,40.82,53.2,53.66,6,2,7,10,8,Arts,Analytical,Arts,Graphic Designer
Male,20,75.69,73.97,75.75,43.07,5,3,6,6,8,Science,Practical,Mathematics,Mechanical Engineer
Male,19,76.84,62.99,53.99,74.88,2,8,7,6,8,Science,Leadership,Commerce,Business Analyst
Female,16,89.55,49.41,62.78,87.18,1,9,9,3,6,Arts,Investigative,English,Lawyer
Female,20,80.19,68.39,56.46,76.08,7,9,5,6,10,Mathematics,Analytical,Commerce,Business Analyst
Male,16,62.52,78.51,72.04,78.13,4,6,8,7,10,Business,Analytical,Mathematics,Business Analyst
Female,18,63.24,84.59,89.52,68.71,3,2,5,2,6,Mathematics,Practical,Mathematics,Civil Engineer
Male,17,80.79,58.89,48.96,76.85,4,10,8,3,8,Arts,Investigative,Social Studies,Lawyer
Female,22,84.09,94.01,65.09,65.25,7,3,7,3,5,Technology,Practical,Computer Science,Data Scientist
Female,20,51.89,55.31,30.0,78.86,1,9,7,10,6,Design,Creative,English,Graphic Designer
Male,17,82.61,91.28,75.99,72.09,5,5,8,6,6,Mathematics,Analytical,Mathematics,Data Scientist
Female,20,74.08,82.27,71.65,65.4,2,3,9,5,5,Technology,Investigative,Mathematics,Mechanical Engineer
Female,21,74.61,54.4,67.37,92.65,1,10,6,4,9,Arts,Social,English,Lawyer
Female,22,57.72,65.54,64.15,69.7,4,5,5,10,3,Design,Creative,English,Graphic Designer
Male,20,81.14,85.39,81.53,51.92,5,5,9,6,7,Science,Practical,Mathematics,Data Scientist
Male,16,81.26,58.94,83.26,83.42,2,10,5,7,7,Arts,Practical,Arts,Teacher
Male,20,84.34,91.82,68.77,65.94,9,4,7,1,3,Mathematics,Creative,Social Studies,Software Engineer
Male,16,63.77,80.31,68.83,64.73,10,4,9,6,3,Technology,Creative,Computer Science,Software Engineer
Male,16,69.64,38.34,88.56,64.07,2,8,7,8,7,Arts,Social,Social Studies,Psychologist
Female,21,72.34,71.63,76.73,79.45,1,9,5,5,7,Business,Social,Social Studies,Teacher
Male,22,75.53,59.57,70.48,76.73,4,4,5,8,4,Arts,Creative,Computer Science,Graphic Designer
Female,21,79.71,81.85,79.89,68.27,7,7,9,6,7,Technology,Analytical,Mathematics,Mechanical Engineer
Male,21,91.45,50.49,79.67,68.84,2,7,10,5,5,Social Work,Investigative,Biology,Psychologist
Male,22,83.87,76.16,86.1,79.48,4,3,8,4,4,Medicine,Social,English,Doctor
Male,16,86.62,42.08,50.8,72.62,6,5,7,7,2,Design,Analytical,Arts,Graphic Designer
Male,18,71.49,58.88,53.23,65.34,1,7,4,8,1,Design,Creative,Computer Science,Graphic Designer
Male,21,63.36,50.85,63.74,68.26,3,6,7,8,5,Arts,Creative,Arts,Graphic Designer
Female,18,83.72,88.61,65.95,47.37,6,5,9,6,5,Business,Investigative,Science,Data Scientist
Male,22,76.35,67.15,79.73,59.64,1,7,6,3,6,Science,Analytical,Commerce,Civil Engineer
Male,17,87.19,81.34,61.71,52.34,9,4,10,10,3,Technology,Investigative,Computer Science,Software Engineer
Female,22,79.03,90.53,77.95,73.09,8,6,10,7,9,Arts,Creative,Computer Science,Software Engineer
Male,16,91.15,73.49,76.36,46.43,4,8,7,4,3,Technology,Practical,Science,Mechanical Engineer
Male,18,87.52,86.37,75.22,52.17,7,5,10,3,4,Science,Analytical,Mathematics,Data Scientist
Male,20,85.55,73.5,74.28,63.13,10,7,10,7,6,Medicine,Analytical,Science,Software Engineer
Male,19,64.96,31.54,53.02,83.06,4,2,4,10,6,Design,Creative,Arts,Graphic Designer
Male,16,71.28,77.44,51.77,81.16,3,7,7,5,4,Design,Creative,English,Psychologist
Female,22,82.94,71.6,54.05,61.09,8,6,7,6,8,Business,Leadership,Commerce,Business Analyst
Female,21,79.97,80.02,75.49,58.12,1,5,8,4,8,Technology,Practical,Mathematics,Civil Engineer
Male,19,69.79,93.82,56.2,69.46,5,7,7,4,9,Technology,Analytical,Computer Science,Business Analyst
Female,16,72.58,53.02,52.27,87.91,3,8,3,8,5,Arts,Social,Arts,Teacher
Male,16,86.83,65.01,59.9,89.01,1,10,6,1,9,Social Work,Social,Social Studies,Lawyer
Male,22,85.99,77.1,73.98,51.04,3,6,8,5,2,Technology,Investigative,Social Studies,Mechanical Engineer
Female,17,79.56,64.17,80.97,77.6,3,5,7,3,7,Medicine,Investigative,Mathematics,Doctor
Female,20,88.72,82.83,48.38,64.81,10,4,7,3,1,Science,Creative,Mathematics,Software Engineer
Female,17,81.5,78.78,56.23,77.18,7,8,6,6,10,Business,Analytical,Mathematics,Business Analyst
Female,18,95.59,57.01,68.19,80.37,2,9,7,5,6,Medicine,Social,Commerce,Psychologist
Male,16,86.88,57.31,88.95,55.15,5,6,6,5,8,Medicine,Social,Science,Doctor
Female,18,77.05,58.48,71.71,86.27,7,6,9,4,6,Mathematics,Leadership,Computer Science,Business Analyst
Female,18,78.06,86.74,61.53,56.94,9,8,8,4,5,Technology,Analytical,Science,Data Scientist
Female,18,77.24,65.86,66.39,51.62,4,3,8,5,7,Mathematics,Investigative,Mathematics,Mechanical Engineer
Male,20,74.85,83.18,67.86,61.23,6,4,10,5,3,Science,Analytical,Mathematics,Mechanical Engineer
Male,18,81.45,68.24,61.42,83.05,2,8,8,8,5,Medicine,Leadership,Arts,Teacher
Female,18,69.24,61.22,70.57,60.76,2,9,7,6,6,Science,Practical,Science,Civil Engineer
Male,17,77.57,65.36,61.07,66.6,1,10,10,5,10,Business,Analytical,Commerce,Lawyer
Male,21,93.31,72.89,90.47,80.8,6,9,6,7,6,Social Work,Analytical,Commerce,Doctor
Male,16,89.81,85.88,45.6,73.63,5,6,7,8,7,Technology,Social,Commerce,Business Analyst
Male,20,76.99,90.02,71.21,71.28,6,5,10,7,6,Technology,Analytical,Biology,Data Scientist
Male,16,71.29,66.18,78.06,74.81,2,6,6,5,8,Mathematics,Practical,Science,Civil Engineer
Female,22,82.48,100.0,79.14,54.91,3,1,6,4,5,Science,Creative,Mathematics,Civil Engineer
Female,16,69.52,44.7,68.51,67.27,2,7,4,10,4,Design,Creative,Arts,Graphic Designer
Male,17,83.9,59.11,72.62,82.13,1,7,6,6,4,Arts,Social,English,Psychologist
Male,21,74.85,82.0,76.01,50.56,7,4,6,5,5,Technology,Investigative,Mathematics,Software Engineer
Female,21,74.7,42.14,36.35,78.18,5,4,3,10,3,Design,Creative,Arts,Graphic Designer
Female,17,84.43,43.89,56.22,59.18,6,6,5,10,4,Arts,Creative,Computer Science,Graphic Designer
Female,22,72.46,71.98,62.32,81.88,5,6,5,4,5,Technology,Analytical,Mathematics,Business Analyst
Female,20,68.2,83.36,81.42,37.27,1,4,7,4,4,Mathematics,Practical,Social Studies,Civil Engineer
Female,19,78.3,78.41,74.35,53.5,2,4,8,3,7,Technology,Practical,Science,Civil Engineer
Male,19,89.3,91.95,61.01,57.95,9,7,10,6,7,Technology,Analytical,Computer Science,Software Engineer
Male,21,76.48,54.43,66.2,86.36,1,10,3,5,4,Medicine,Creative,English,Psychologist
Female,18,84.12,68.23,57.19,78.46,1,10,8,8,7,Arts,Leadership,Commerce,Lawyer
Male,21,86.14,89.4,79.86,47.97,5,8,9,6,6,Mathematics,Analytical,Arts,Mechanical Engineer
Male,18,71.11,94.96,43.37,97.8,1,9,6,7,6,Social Work,Social,Commerce,Lawyer
Male,19,78.11,48.46,63.93,80.18,2,9,10,3,8,Social Work,Creative,Social Studies,Psychologist
Male,17,75.83,80.9,85.87,53.44,3,6,6,6,4,Technology,Practical,English,Mechanical Engineer
Male,20,84.2,72.45,75.59,74.16,1,10,6,7,9,Social Work,Creative,English,Teacher
Male,19,93.48,83.43,66.81,66.66,4,2,6,7,4,Science,Investigative,Social Studies,Civil Engineer
Female,20,67.63,66.42,52.1,63.6,3,7,8,3,2,Arts,Creative,Arts,Teacher
Female,16,86.24,75.82,95.97,78.16,3,9,8,4,7,Medicine,Investigative,Science,Doctor
Female,22,91.07,64.85,68.17,45.35,7,5,7,7,6,Technology,Creative,Computer Science,Software Engineer
Male,20,86.98,83.19,65.4,76.1,4,9,9,4,5,Social Work,Social,Social Studies,Teacher
Female,22,77.41,76.53,65.24,66.82,2,4,7,5,5,Mathematics,Analytical,Science,Civil Engineer
Female,16,73.04,81.3,84.89,63.44,7,5,10,7,8,Mathematics,Analytical,Mathematics,Data Scientist
Male,16,77.78,55.33,71.88,74.35,1,8,3,7,3,Social Work,Investigative,Social Studies,Psychologist
Male,22,78.29,57.17,69.86,75.78,1,10,8,8,7,Social Work,Investigative,English,Psychologist
Male,17,67.63,63.07,73.98,85.7,1,8,3,9,5,Medicine,Investigative,Biology,Psychologist
Male,17,75.23,54.72,52.91,72.25,3,6,7,9,2,Design,Creative,Arts,Graphic Designer
Male,22,77.35,78.12,71.73,53.09,3,3,8,5,6,Technology,Analytical,Science,Mechanical Engineer
Female,18,88.9,79.17,71.81,79.23,6,9,5,6,8,Social Work,Leadership,Arts,Teacher
Female,20,76.64,85.15,75.98,72.72,1,5,6,8,9,Science,Practical,Science,Civil Engineer
Male,18,78.0,95.99,59.82,58.01,9,6,6,6,5,Technology,Analytical,Computer Science,Software Engineer
Male,20,73.83,76.4,61.11,73.13,6,6,8,7,6,Business,Leadership,Commerce,Business Analyst
Female,20,74.54,69.22,62.83,84.94,3,10,5,6,7,Technology,Leadership,English,Lawyer
Male,21,77.27,93.78,58.51,70.51,10,4,10,9,4,Technology,Analytical,Computer Science,Data Scientist
Female,18,74.3,44.08,79.13,88.73,1,10,8,6,3,Business,Social,Social Studies,Teacher
Female,17,67.86,75.29,67.49,81.98,6,9,8,7,9,Technology,Analytical,Mathematics,Business Analyst
Female,16,78.44,39.14,56.13,80.33,5,9,7,5,10,Social Work,Leadership,English,Lawyer
Female,21,83.79,42.53,58.93,79.69,5,9,2,7,5,Social Work,Social,Social Studies,Teacher
Female,16,73.67,96.68,63.89,66.04,7,8,7,1,6,Science,Social,Computer Science,Data Scientist
Female,16,66.81,60.51,55.12,65.79,2,10,8,6,10,Business,Leadership,Commerce,Business Analyst
Female,21,83.79,88.09,82.22,55.92,10,6,10,4,7,Technology,Investigative,Mathematics,Data Scientist
Female,21,77.71,67.06,82.79,47.67,4,6,6,6,7,Mathematics,Investigative,Arts,Civil Engineer
Male,20,84.77,74.8,92.14,66.45,6,7,5,4,9,Medicine,Analytical,English,Doctor
Female,18,94.6,70.59,69.39,48.4,4,7,6,8,5,Arts,Investigative,Science,Mechanical Engineer
Male,17,81.35,56.82,99.19,75.0,1,8,4,6,8,Medicine,Social,Biology,Doctor
Male,20,71.84,76.38,61.78,72.49,5,6,8,6,6,Science,Social,Commerce,Business Analyst
Male,18,74.89,88.77,75.0,55.2,10,3,8,3,6,Design,Analytical,Social Studies,Software Engineer
Female,21,78.65,72.38,73.1,69.38,3,10,8,5,5,Arts,Leadership,English,Teacher
Male,22,70.91,89.73,49.94,69.08,6,9,7,3,8,Business,Leadership,Commerce,Business Analyst
Female,16,73.51,81.84,83.0,53.5,1,3,6,4,4,Science,Analytical,Science,Civil Engineer
Male,22,66.63,73.51,80.01,77.39,1,8,8,6,6,Business,Creative,English,Teacher
Male,16,86.33,64.77,60.78,73.69,5,2,4,10,5,Design,Social,English,Graphic Designer
Female,22,72.16,83.72,88.52,74.25,8,8,9,7,5,Science,Investigative,Mathematics,Data Scientist
Female,20,69.73,57.85,69.42,74.56,4,9,6,7,5,Social Work,Analytical,Social Studies,Teacher
Female,19,66.03,69.18,81.45,64.09,2,3,6,6,8,Science,Practical,Science,Civil Engineer
Female,18,71.75,57.67,64.3,85.12,6,9,6,4,10,Medicine,Leadership,English,Teacher
Female,22,62.79,68.26,81.23,56.23,7,4,7,2,8,Technology,Analytical,Science,Civil Engineer
Male,21,79.8,85.88,57.46,69.63,9,4,6,7,7,Science,Analytical,Computer Science,Software Engineer
Male,16,78.43,57.97,52.95,82.04,3,10,3,4,8,Business,Creative,English,Teacher
Male,19,81.76,77.48,59.86,56.58,1,9,5,4,5,Arts,Social,Biology,Psychologist
Female,22,78.84,65.85,35.09,76.5,1,10,8,7,9,Business,Social,Computer Science,Teacher
Male,19,68.05,44.46,55.3,86.16,1,10,6,4,7,Business,Social,Social Studies,Lawyer
Female,19,62.92,65.76,81.72,57.75,5,7,6,4,5,Social Work,Social,English,Psychologist
Male,18,76.02,65.93,53.7,97.29,6,10,6,6,4,Arts,Leadership,Arts,Teacher
Male,22,80.54,53.02,65.57,82.16,1,8,7,6,8,Business,Investigative,English,Lawyer
Female,20,67.32,44.78,69.81,69.35,3,3,6,9,3,Technology,Practical,Arts,Graphic Designer
Male,20,60.11,47.06,59.78,84.69,5,9,6,5,6,Social Work,Social,Social Studies,Psychologist
Female,18,84.27,77.31,81.4,71.97,2,4,8,4,8,Technology,Practical,Science,Mechanical Engineer
Male,17,68.15,67.88,80.57,77.55,5,5,9,3,8,Mathematics,Practical,Science,Mechanical Engineer
Male,21,85.6,76.26,40.33,61.95,5,7,7,7,5,Business,Social,Mathematics,Business Analyst
Male,19,76.15,74.22,72.68,62.71,6,3,8,9,2,Science,Practical,Mathematics,Mechanical Engineer
Male,22,79.27,32.97,59.87,74.61,5,9,8,7,10,Arts,Leadership,English,Lawyer
Female,20,69.47,69.37,68.84,50.27,1,4,5,4,8,Mathematics,Practical,Science,Civil Engineer
Male,22,83.77,43.73,64.01,73.18,4,9,5,5,6,Business,Investigative,English,Teacher
Male,18,66.83,93.5,74.75,45.42,4,4,6,5,8,Science,Practical,Mathematics,Civil Engineer
Male,17,91.15,53.62,93.14,66.74,2,8,6,2,8,Science,Investigative,Science,Doctor
Female,17,64.83,77.56,72.27,49.66,3,4,5,5,9,Technology,Practical,Mathematics,Civil Engineer
Male,21,76.55,61.17,58.42,74.86,3,8,3,6,4,Arts,Creative,Social Studies,Teacher
Female,18,68.56,60.47,95.37,79.02,6,9,8,2,10,Science,Social,Science,Doctor
Female,17,85.33,47.4,54.4,80.08,1,9,5,8,10,Social Work,Social,Social Studies,Lawyer
Male,16,85.35,89.11,82.5,65.12,10,2,10,5,7,Mathematics,Analytical,Science,Data Scientist
Female,16,82.62,71.02,42.61,85.55,2,9,7,6,8,Business,Social,English,Lawyer
Male,21,69.58,83.85,76.46,62.84,8,7,9,4,8,Technology,Investigative,Computer Science,Software Engineer
Male,21,76.89,71.95,52.6,72.58,1,9,7,6,8,Social Work,Social,Social Studies,Lawyer
Male,18,93.86,73.43,97.24,71.9,1,8,6,5,6,Science,Social,Biology,Doctor
Female,17,62.55,66.96,54.43,70.31,4,10,4,6,6,Arts,Social,Social Studies,Teacher
Male,18,76.69,76.41,81.62,65.47,10,6,8,7,5,Technology,Creative,Computer Science,Software Engineer
Female,16,78.73,55.06,45.49,82.15,1,8,6,5,8,Technology,Social,Biology,Lawyer
Female,22,86.72,64.0,59.31,81.46,1,10,10,2,6,Social Work,Investigative,English,Lawyer
Male,21,71.85,79.91,66.71,59.86,9,1,9,9,4,Design,Analytical,Computer Science,Software Engineer
Female,22,75.69,43.67,68.12,83.25,1,8,7,4,4,Social Work,Social,Social Studies,Psychologist
Female,18,98.07,70.32,66.87,81.78,6,9,5,8,6,Social Work,Social,Social Studies,Teacher
Male,17,57.3,47.71,54.07,74.26,5,2,7,9,8,Arts,Creative,English,Graphic Designer
Female,19,75.88,71.99,64.99,77.07,7,6,4,6,9,Business,Social,Social Studies,Business Analyst
Male,17,71.92,65.19,53.28,91.57,7,9,8,6,3,Social Work,Leadership,English,Teacher
Male,19,80.37,49.39,50.83,73.01,4,7,9,8,8,Business,Leadership,English,Lawyer
Female,21,57.17,48.84,79.34,61.46,1,9,8,3,10,Medicine,Social,English,Psychologist
Female,21,92.46,76.57,81.41,74.44,2,7,6,8,4,Technology,Analytical,Mathematics,Civil Engineer
Female,21,76.31,76.49,54.5,56.43,9,7,5,2,6,Technology,Social,Commerce,Business Analyst
Male,22,90.77,90.76,81.43,51.88,3,5,7,8,8,Technology,Analytical,Science,Civil Engineer
Female,20,65.38,79.31,73.05,54.45,1,7,7,4,6,Science,Practical,English,Civil Engineer
Female,16,75.77,86.03,81.0,51.99,8,1,9,3,7,Mathematics,Analytical,Mathematics,Data Scientist
Male,17,65.18,70.23,46.65,65.55,7,8,6,3,6,Arts,Social,Social Studies,Teacher
Female,19,73.95,47.9,75.71,85.44,4,10,7,5,7,Social Work,Investigative,English,Lawyer
Male,19,75.47,78.5,68.01,81.04,1,7,8,3,4,Social Work,Social,Social Studies,Psychologist
Male,17,77.19,58.45,77.26,74.67,1,10,6,4,10,Business,Investigative,Commerce,Lawyer
Female,22,70.06,54.5,62.09,90.66,5,9,8,4,10,Arts,Investigative,Commerce,Lawyer
Male,21,74.06,95.38,92.77,65.09,6,5,10,4,5,Science,Practical,Science,Data Scientist
Male,16,82.38,52.4,59.78,90.86,5,8,9,5,8,Arts,Social,Social Studies,Lawyer
Male,20,76.8,87.34,88.52,62.19,8,4,6,8,4,Science,Creative,Science,Software Engineer
Female,20,80.54,90.54,75.32,50.64,6,6,7,7,5,Mathematics,Practical,Mathematics,Data Scientist
Female,21,68.53,42.14,51.78,86.08,3,10,5,1,9,Social Work,Investigative,Commerce,Lawyer
Male,20,83.03,61.29,81.91,62.85,4,7,7,3,6,Medicine,Social,Biology,Doctor
Female,21,72.94,76.97,71.27,69.34,4,5,10,5,7,Science,Practical,Mathematics,Mechanical Engineer
Female,17,80.55,77.23,43.74,74.6,4,5,6,4,10,Business,Leadership,Commerce,Business Analyst
Female,22,82.61,44.97,91.58,86.92,2,8,9,3,4,Medicine,Investigative,Biology,Doctor
Male,16,85.93,86.69,65.88,67.57,9,5,8,6,5,Technology,Analytical,Computer Science,Software Engineer
Female,17,86.59,51.39,92.87,80.19,6,6,7,3,5,Social Work,Investigative,Science,Doctor
Male,22,80.32,84.46,76.93,64.03,4,8,7,8,2,Technology,Investigative,Science,Mechanical Engineer
Male,22,83.73,95.7,79.32,67.17,10,6,10,9,4,Mathematics,Practical,Computer Science,Data Scientist
Female,21,65.87,64.39,47.02,68.33,7,2,7,5,5,Science,Analytical,Mathematics,Software Engineer
Female,21,72.71,62.36,54.39,77.64,4,9,7,4,8,Arts,Social,English,Teacher
Female,16,80.85,86.78,58.65,77.64,2,9,4,6,8,Science,Leadership,Social Studies,Lawyer
Male,17,74.85,84.6,71.18,42.5,5,3,8,6,3,Science,Practical,Commerce,Civil Engineer
Female,20,86.39,80.59,61.22,92.92,1,7,6,5,10,Business,Creative,English,Psychologist
Female,17,92.84,83.79,66.54,48.88,9,4,9,7,3,Design,Investigative,Computer Science,Software Engineer
Female,20,83.21,84.16,100.0,68.62,10,3,8,9,8,Science,Social,Mathematics,Data Scientist
Female,20,89.89,83.38,82.99,75.21,4,4,8,7,7,Social Work,Investigative,Science,Doctor
Male,18,77.33,84.49,51.1,85.15,10,4,6,7,5,Science,Creative,Mathematics,Software Engineer
Male,19,99.0,48.77,60.43,67.43,3,8,10,3,5,Social Work,Investigative,English,Lawyer
Female,21,63.29,50.06,64.74,71.38,3,6,4,8,8,Design,Creative,Computer Science,Graphic Designer
Female,19,69.28,75.12,90.6,60.29,5,4,10,6,4,Arts,Practical,Mathematics,Mechanical Engineer
Male,21,64.35,57.19,62.4,90.79,5,10,3,4,1,Social Work,Leadership,Social Studies,Teacher
Male,20,74.55,83.83,67.36,65.37,9,5,9,8,6,Design,Investigative,Computer Science,Data Scientist
Female,22,85.49,63.29,66.4,83.75,4,9,6,7,10,Business,Social,Social Studies,Lawyer
